Node ID,Parent ID,Node Type,Sort Key,Path,Layer ID,Layer Name,Name,Phase,Outcome,Depends On,Parallel Safe,Projects,Files / Globs,Schema Contexts,Contracts / APIs,Gate,Acceptance,Baseline Version,Record Version,Effective From,Status,Breakdown Complete,Manual Progress,Owner,Priority,Risk,Source,Change ID,Supersedes Version,Is Current,Notes
01,,Layer,01,01 CORE,01,CORE,CORE,,"Provide the universal technical foundation used by Nexus itself and by every product, so no product ever re-implements identity, tenancy, authorization, audit, secrets or model access.",,,,,,,,,1.0,1.0,2026-08-25,Planned,No,,Unassigned,Not Assessed,Not Assessed,nexus-roadmap.yaml v2.2,CHG-20260825-001,,Yes,
F-01-1,01,Feature,01.001,01 CORE > F-01-1 Identity and Authentication,01,CORE,Identity and Authentication,P1,"Give the system a real subject. Every ownership, assignment, review, approval and audit record is meaningless without one, and the placeholder currently in place returns a hardcoded tenant.",,,,,,,,,1.0,1.0,2026-08-25,Planned,No,,Unassigned,High,Not Assessed,nexus-roadmap.yaml v2.2,CHG-20260825-001,,Yes,"Identity, authentication, sessions"
M-01-1.1,F-01-1,Milestone,01.001.001,01 CORE > F-01-1 Identity and Authentication > M-01-1.1 Identity domain and schema,01,CORE,Identity domain and schema,P1,"User, Credential and Session exist as real aggregates in the identity schema, replacing the 240-byte IdentityProvider stub.",M-02-1.4,No,,,schema:core,,GATE_A,"User, Credential and Session tables exist in the identity schema with Id/Seq/Ref. | Nexus.Platform.Identity/IdentityProvider.cs is deleted, not extended. | Architecture tests confirm Platform references no product assembly.",1.0,1.0,2026-08-25,Planned,No,,Unassigned,High,High,nexus-roadmap.yaml v2.2,CHG-20260825-001,,Yes,
WI-01-1.1.1,M-01-1.1,WorkItem,01.001.001.001,01 CORE > F-01-1 Identity and Authentication > M-01-1.1 Identity domain and schema > WI-01-1.1.1 User and Credential aggregates,01,CORE,User and Credential aggregates,P1,,,,Nexus.Platform.Identity,,core,Nexus.Platform.Contracts,GATE_A,,1.0,1.0,2026-08-25,Planned,No,,Unassigned,High,Not Assessed,nexus-roadmap.yaml v2.2,CHG-20260825-001,,Yes,
T-01-1.1.1.1,WI-01-1.1.1,Task,01.001.001.001.001,01 CORE > F-01-1 Identity and Authentication > M-01-1.1 Identity domain and schema > WI-01-1.1.1 User and Credential aggregates > T-01-1.1.1.1 Define User aggregate,01,CORE,Define User aggregate,P1,,,,,,,,GATE_A,,1.0,1.0,2026-08-25,Planned,No,,Unassigned,High,Not Assessed,nexus-roadmap.yaml v2.2,CHG-20260825-001,,Yes,
S-01-1.1.1.1.1,T-01-1.1.1.1,Subtask,01.001.001.001.001.001,01 CORE > F-01-1 Identity and Authentication > M-01-1.1 Identity domain and schema > WI-01-1.1.1 User and Credential aggregates > T-01-1.1.1.1 Define User aggregate > S-01-1.1.1.1.1 UserId strongly-typed identifier,01,CORE,UserId strongly-typed identifier,P1,,,,,,,,GATE_A,,1.0,1.0,2026-08-25,Planned,Yes,,Unassigned,High,Not Assessed,nexus-roadmap.yaml v2.2,CHG-20260825-001,,Yes,
S-01-1.1.1.1.2,T-01-1.1.1.1,Subtask,01.001.001.001.001.002,01 CORE > F-01-1 Identity and Authentication > M-01-1.1 Identity domain and schema > WI-01-1.1.1 User and Credential aggregates > T-01-1.1.1.1 Define User aggregate > S-01-1.1.1.1.2 Ref computed persisted column USR-00000001,01,CORE,Ref computed persisted column USR-00000001,P1,,,,,,,,GATE_A,,1.0,1.0,2026-08-25,Planned,Yes,,Unassigned,High,Not Assessed,nexus-roadmap.yaml v2.2,CHG-20260825-001,,Yes,
S-01-1.1.1.1.3,T-01-1.1.1.1,Subtask,01.001.001.001.001.003,"01 CORE > F-01-1 Identity and Authentication > M-01-1.1 Identity domain and schema > WI-01-1.1.1 User and Credential aggregates > T-01-1.1.1.1 Define User aggregate > S-01-1.1.1.1.3 UserStatus - Invited, Active, Suspended, Deactivated",01,CORE,"UserStatus - Invited, Active, Suspended, Deactivated",P1,,,,,,,,GATE_A,,1.0,1.0,2026-08-25,Planned,Yes,,Unassigned,High,Not Assessed,nexus-roadmap.yaml v2.2,CHG-20260825-001,,Yes,
T-01-1.1.1.2,WI-01-1.1.1,Task,01.001.001.001.002,01 CORE > F-01-1 Identity and Authentication > M-01-1.1 Identity domain and schema > WI-01-1.1.1 User and Credential aggregates > T-01-1.1.1.2 Define Credential aggregate with hash storage,01,CORE,Define Credential aggregate with hash storage,P1,,,,,,,,GATE_A,,1.0,1.0,2026-08-25,Planned,No,,Unassigned,High,Not Assessed,nexus-roadmap.yaml v2.2,CHG-20260825-001,,Yes,
S-01-1.1.1.2.1,T-01-1.1.1.2,Subtask,01.001.001.001.002.001,"01 CORE > F-01-1 Identity and Authentication > M-01-1.1 Identity domain and schema > WI-01-1.1.1 User and Credential aggregates > T-01-1.1.1.2 Define Credential aggregate with hash storage > S-01-1.1.1.2.1 Argon2id password hashing, never plaintext or reversible",01,CORE,"Argon2id password hashing, never plaintext or reversible",P1,,,,,,,,GATE_A,,1.0,1.0,2026-08-25,Planned,Yes,,Unassigned,High,Not Assessed,nexus-roadmap.yaml v2.2,CHG-20260825-001,,Yes,
